Fund Code,Receivership,Failure Date,Total Assets,Total_Liabilities,Net Worth (Deficit)
10030,1ST CENTENNIAL BANK,1/23/2009,4268.0,142039.0,-137771.0
10200,ADVANTA BANK CORP,3/19/2010,5736.0,534002.0,-528266.0
10538,ALMENA STATE BANK,10/23/2020,2816.0,19146.0,-16330.0
10018,ALPHA BANK & TRUST,10/24/2008,0.0,212129.0,-212129.0
10218,"AMCORE BANK, NA",4/23/2010,13857.0,91655.0,-77798.0
10057,AMERICA WEST BANK,5/1/2009,997.0,116483.0,-115486.0
10053,AMERICAN SOUTHERN BANK,4/24/2009,2436.0,35573.0,-33137.0
10155,AMTRUST BANK,12/4/2009,14017.0,1741286.0,-1727269.0
10199,APPALACHIAN COMMUNITY BANK,3/19/2010,2546.0,463377.0,-460831.0
10369,ATLANTIC BANK & TRUST,6/3/2011,1010.0,32296.0,-31286.0
10380,BANK OF CHOICE,7/22/2011,1085.0,137627.0,-136542.0
10029,BANK OF CLARK COUNTY,1/16/2009,2501.0,164103.0,-161602.0
10064,BANK OF LINCOLNWOOD,6/5/2009,2988.0,74562.0,-71574.0
10396,BANK OF THE COMMONWEALTH,9/23/2011,5118.0,245759.0,-240641.0
10434,BANK OF THE EASTERN SHORE,4/27/2012,3281.0,61321.0,-58040.0
10387,BANK OF WHITMAN,8/5/2011,4364.0,106419.0,-102055.0
10478,BANKS OF WISCONSIN,5/31/2013,3034.0,25991.0,-22957.0
10171,BARNES BANKING COMPANY,1/15/2010,6079.0,115367.0,-109288.0
10134,CALIFORNIA NATIONAL BANK,10/30/2009,10070.0,220917.0,-210847.0
10441,CAROLINA FEDERAL SAVINGS BANK,6/8/2012,1009.0,18747.0,-17738.0
10193,CENTENNIAL BANK,3/5/2010,1186.0,72623.0,-71437.0
10343,CHARTER OAK BANK,2/18/2011,1060.0,21157.0,-20097.0
10058,CITIZENS COMMUNITY BANK,5/1/2009,3137.0,22903.0,-19766.0
10063,CITIZENS NATIONAL BANK,5/22/2009,6922.0,38792.0,-31870.0
10162,CITIZENS STATE BANK,12/18/2009,3400.0,72794.0,-69394.0
10534,CITY NATIONAL BANK NEW JERSEY,11/1/2019,4373.0,17035.0,-12662.0
10103,COLONIAL BANK,8/14/2009,52437.0,2819515.0,-2767078.0
10180,COMMUNITY BANK & TRUST,1/29/2010,3746.0,483341.0,-479595.0
10101,COMMUNITY BANK OF ARIZONA,8/14/2009,1085.0,28267.0,-27182.0
10100,COMMUNITY BANK OF NEVADA,8/14/2009,2025.0,568790.0,-566765.0
10412,COMMUNITY BANK OF ROCKMART,11/10/2011,1188.0,21617.0,-20429.0
10068,COMMUNITY BANK OF WEST GEORGIA,6/26/2009,4166.0,76596.0,-72430.0
10486,COMMUNITY SOUTH BANK,8/23/2013,1127.0,132253.0,-131126.0
10117,CORUS BANK NA,9/11/2009,12288.0,36697.0,-24409.0
10402,COUNTRY BANK,10/14/2011,5002.0,74778.0,-69776.0
10265,CRESCENT BANK AND TRUST CO.,7/23/2010,1091.0,306870.0,-305779.0
10205,DESERT HILLS BANK,3/26/2010,1078.0,111669.0,-110591.0
10513,DORAL BANK,2/27/2015,24407.0,753650.0,-729243.0
10104,DWELLING HOUSE SAVINGS & LOAN,8/14/2009,1055.0,9527.0,-8472.0
10317,EARTHSTAR BANK,12/10/2010,5945.0,29075.0,-23130.0
10329,ENTERPRISE BANKING CO.,1/21/2011,1047.0,44771.0,-43724.0
10535,ERICSON STATE BANK,2/14/2020,2471.0,26244.0,-23773.0
10306,"FIRST ARIZONA SAVINGS, FSB",10/22/2010,2463.0,29759.0,-27296.0
10054,FIRST BANK OF BEVERLY HILLS,4/24/2009,1037.0,11368.0,-10331.0
10055,"FIRST BANK OF IDAHO, FSB",4/24/2009,4160.0,114058.0,-109898.0
10315,FIRST BANKING CENTER,11/19/2010,5454.0,93768.0,-88314.0
10374,FIRST CHICAGO BANK & TRUST,7/8/2011,1600.0,195986.0,-194386.0
10333,FIRST COMMUNITY BANK,1/28/2011,1998.0,239489.0,-237491.0
10366,FIRST GEORGIA BANKING CO.,5/20/2011,3308.0,138095.0,-134787.0
10025,FIRST GEORGIA COMMUNITY BANK,12/5/2008,2197.0,89993.0,-87796.0
10251,FIRST NATIONAL BANK,6/25/2010,1152.0,80353.0,-79201.0
10488,FIRST NATIONAL BANK,9/13/2013,1156.0,623950.0,-622794.0
10008,FIRST NATIONAL BANK OF NEVADA,7/25/2008,7200.0,732196.0,-724996.0
10526,FIRST NBC BANK,4/28/2017,28673.0,824006.0,-795333.0
10036,FIRSTBANK FINANCIAL SERVICES,2/6/2009,1296.0,153215.0,-151919.0
10047,FIRSTCITY BANK,3/20/2009,3065.0,138965.0,-135900.0
10334,FIRSTIER BANK,1/28/2011,6071.0,241320.0,-235249.0
10433,FORT LEE FEDERAL SAVINGS BANK,4/20/2012,2219.0,14380.0,-12161.0
10021,"FRANKLIN BANK, SSB",11/7/2008,25680.0,663848.0,-638168.0
10019,FREEDOM BANK,10/31/2008,2324.0,116479.0,-114155.0
10428,GLOBAL COMMERCE BANK,3/2/2012,1081.0,41663.0,-40582.0
10105,GUARANTY BANK,8/21/2009,99832.0,5677.0,94155.0
10462,GULFSOUTH PRIVATE BANK,10/19/2012,1233.0,41806.0,-40573.0
10027,HAVEN TRUST BANK,12/12/2008,2329.0,249946.0,-247617.0
10465,HERITAGE BANK OF FLORIDA,11/2/2012,1107.0,75282.0,-74175.0
10427,HOME SAVINGS OF AMERICA,2/24/2012,1536.0,48923.0,-47387.0
10257,IDEAL FEDERAL SAVINGS BANK,7/9/2010,1804.0,5828.0,-4024.0
10161,IMPERIAL CAPITAL BANK,12/18/2009,14079.0,297814.0,-283735.0
10166,INDEPENDENT BANKERS' BANK,12/18/2009,1907.0,6.0,1901.0
10007,INDYMAC FEDERAL BANK FSB,7/11/2008,99444.0,12221996.0,-12122552.0
10384,"INTEGRA BANK, NA",7/29/2011,8443.0,97118.0,-88675.0
10095,INTEGRITY BANK,7/31/2009,1068.0,37815.0,-36747.0
10120,IRWIN UNION BANK & TRUST CO.,9/18/2009,1859.0,772751.0,-770892.0
10121,"IRWIN UNION, FSB",9/18/2009,0.0,115735.0,-115735.0
10308,K BANK,11/5/2010,1065.0,138820.0,-137755.0
10215,LAKESIDE COMMUNITY BANK,4/16/2010,1149.0,22218.0,-21069.0
10273,LIBERTY BANK,7/30/2010,1602.0,54794.0,-53192.0
10221,LINCOLN PARK SAVINGS BANK,4/23/2010,3230.0,41940.0,-38710.0
10282,LOS PADRES BANK,8/20/2010,0.0,5146.0,-5146.0
10392,LYDIAN PRIVATE BANK,8/19/2011,8086.0,220428.0,-212342.0
10031,MAGNETBANK,1/30/2009,2433.0,173626.0,-171193.0
10291,MARITIME SAVINGS BANK,9/17/2010,1020.0,91275.0,-90255.0
10056,MICHIGAN HERITAGE BANK,4/24/2009,1648.0,50680.0,-49032.0
10448,MONTGOMERY BANK & TRUST,7/6/2012,4683.0,71084.0,-66401.0
10507,NATIONAL REPUBLIC BK - CHICAGO,10/24/2014,93.0,74582.0,-74489.0
10429,NEW CITY BANK,3/9/2012,4603.0,18685.0,-14082.0
10050,NEW FRONTIER BANK,4/10/2009,2007.0,920789.0,-918782.0
10163,NEW SOUTH FEDERAL SAVINGS BANK,12/18/2009,1424.0,317134.0,-315710.0
10463,NOVA BANK,10/26/2012,1073.0,89910.0,-88837.0
10032,OCALA NATIONAL BANK,1/30/2009,2296.0,96636.0,-94340.0
10048,OMNI NATIONAL BANK,3/27/2009,2951.0,301179.0,-298228.0
10378,ONE GEORGIA BANK,7/15/2011,4645.0,45733.0,-41088.0
10139,PACIFIC NATIONAL BANK,10/30/2009,5644.0,85050.0,-79406.0
10140,PARK NATIONAL BANK,10/30/2009,13834.0,393574.0,-379740.0
10115,PLATINUM COMMUNITY BANK,9/4/2009,6223.0,427.0,5796.0
10297,PREMIER BANK,10/15/2010,1264.0,311669.0,-310405.0
10431,PREMIER BANK,3/23/2012,2548.0,72504.0,-69956.0
10525,PROFICIO BANK,3/3/2017,3054.0,13071.0,-10017.0
10230,R-G PREMIER BK OF PUERTO RICO,4/30/2010,14438.0,1011344.0,-996906.0
10276,RAVENSWOOD BANK,8/6/2010,5365.0,74284.0,-68919.0
10038,RIVERSIDE BK OF THE GULF COAST,2/13/2009,2104.0,203274.0,-201170.0
10216,RIVERSIDE NATL BANK OF FLORIDA,4/16/2010,4417.0,18.0,4399.0
10164,ROCKBRIDGE COMMERCIAL BANK,12/18/2009,1305.0,101194.0,-99889.0
10135,SAN DIEGO NATIONAL BANK,10/30/2009,5261.0,64144.0,-58883.0
10425,SCB BANK,2/10/2012,1010.0,39627.0,-38617.0
10524,SEAWAY BANK AND TRUST,1/27/2017,1573.0,47051.0,-45478.0
10020,SECURITY PACIFIC BANK,11/7/2008,2634.0,152293.0,-149659.0
10043,SECURITY SAVINGS BANK,2/27/2009,3701.0,36378.0,-32677.0
10041,SILVER FALLS BANK,2/20/2009,1611.0,41211.0,-39600.0
10013,SILVER STATE BANK,9/5/2008,4996.0,738754.0,-733758.0
10059,"SILVERTON BANK, NA",5/1/2009,14185.0,693221.0,-679036.0
10481,SUNRISE BANK,5/10/2013,1032.0,17213.0,-16181.0
10358,SUPERIOR BANK,4/15/2011,9347.0,350354.0,-341007.0
10217,TAMALPAIS BANK,4/16/2010,3426.0,735.0,2691.0
10234,THE BANK OF BONIFAY,5/7/2010,1179.0,67549.0,-66370.0
10324,"THE BANK OF MIAMI, NA",12/17/2010,1392.0,31214.0,-29822.0
10011,THE COLUMBIAN BANK & TRUST CO,8/22/2008,3165.0,367042.0,-363877.0
