Fund,Bank Name ,City ,State ,Location
10540,Signature Bank,New York,NY,"New York, NY"
10539,Silicon Valley Bank,Santa Clara,CA,"Santa Clara, CA"
10538,Almena State Bank,Almena,KS,"Almena, KS"
10537,First City Bank of Florida,Fort Walton Beach,FL,"Fort Walton Beach, FL"
10536,The First State Bank,Barboursville,WV,"Barboursville, WV"
10535,Ericson State Bank,Ericson,NE,"Ericson, NE"
10534,City National Bank of New Jersey,Newark,NJ,"Newark, NJ"
10533,Resolute Bank,Maumee,OH,"Maumee, OH"
10532,Louisa Community Bank,Louisa,KY,"Louisa, KY"
10531,The Enloe State Bank,Cooper,TX,"Cooper, TX"
10530,Washington Federal Bank for Savings,Chicago,IL,"Chicago, IL"
10529,The Farmers and Merchants State Bank of Argonia,Argonia,KS,"Argonia, KS"
10528,Fayette County Bank,Saint Elmo,IL,"Saint Elmo, IL"
10527,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,"Milwaukee, WI"
10526,First NBC Bank,New Orleans,LA,"New Orleans, LA"
10525,Proficio Bank,Cottonwood Heights,UT,"Cottonwood Heights, UT"
10524,Seaway Bank and Trust Company,Chicago,IL,"Chicago, IL"
10523,Harvest Community Bank,Pennsville,NJ,"Pennsville, NJ"
10522,Allied Bank,Mulberry,AR,"Mulberry, AR"
10521,The Woodbury Banking Company,Woodbury,GA,"Woodbury, GA"
10520,First CornerStone Bank,King of Prussia,PA,"King of Prussia, PA"
10519,Trust Company Bank,Memphis,TN,"Memphis, TN"
10518,North Milwaukee State Bank,Milwaukee,WI,"Milwaukee, WI"
10517,Hometown National Bank,Longview,WA,"Longview, WA"
10516,The Bank of Georgia,Peachtree City,GA,"Peachtree City, GA"
10515,Premier Bank,Denver,CO,"Denver, CO"
10514,Edgebrook Bank,Chicago,IL,"Chicago, IL"
10513,Doral Bank,San Juan,PR,"San Juan, PR"
10512,Capitol City Bank & Trust Company,Atlanta,GA,"Atlanta, GA"
10511,Highland Community Bank,Chicago,IL,"Chicago, IL"
10510,First National Bank of Crestview,Crestview,FL,"Crestview, FL"
10509,Northern Star Bank,Mankato,MN,"Mankato, MN"
10508,"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,"Palm Desert, CA"
10507,The National Republic Bank of Chicago,Chicago,IL,"Chicago, IL"
10506,NBRS Financial,Rising Sun,MD,"Rising Sun, MD"
10505,"GreenChoice Bank, fsb",Chicago,IL,"Chicago, IL"
10504,Eastside Commercial Bank,Conyers,GA,"Conyers, GA"
10503,The Freedom State Bank,Freedom,OK,"Freedom, OK"
10501,Valley Bank,Fort Lauderdale,FL,"Fort Lauderdale, FL"
10502,Valley Bank,Moline,IL,"Moline, IL"
10500,Slavie Federal Savings Bank,Bel Air,MD,"Bel Air, MD"
10499,Columbia Savings Bank,Cincinnati,OH,"Cincinnati, OH"
10498,AztecAmerica Bank,Berwyn,IL,"Berwyn, IL"
10497,Allendale County Bank,Fairfax,SC,"Fairfax, SC"
10496,Vantage Point Bank,Horsham,PA,"Horsham, PA"
10495,"Millennium Bank, National Association",Sterling,VA,"Sterling, VA"
10494,Syringa Bank,Boise,ID,"Boise, ID"
10493,The Bank of Union,El Reno,OK,"El Reno, OK"
10492,DuPage National Bank,West Chicago,IL,"West Chicago, IL"
10491,"Texas Community Bank, National Association",The Woodlands,TX,"The Woodlands, TX"
10490,Bank of Jackson County,Graceville,FL,"Graceville, FL"
10488,First National Bank also operating as The National Bank of El Paso,Edinburg,TX,"Edinburg, TX"
10489,The Community's Bank,Bridgeport,CT,"Bridgeport, CT"
10487,Sunrise Bank of Arizona,Phoenix,AZ,"Phoenix, AZ"
10486,Community South Bank,Parsons,TN,"Parsons, TN"
10485,Bank of Wausau,Wausau,WI,"Wausau, WI"
10484,First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,"Fort Myers, FL"
10483,Mountain National Bank,Sevierville,TN,"Sevierville, TN"
10482,1st Commerce Bank,North Las Vegas,NV,"North Las Vegas, NV"
10478,Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,"Kenosha, WI"
10479,Central Arizona Bank,Scottsdale,AZ,"Scottsdale, AZ"
10481,Sunrise Bank,Valdosta,GA,"Valdosta, GA"
10480,Pisgah Community Bank,Asheville,NC,"Asheville, NC"
10476,Douglas County Bank,Douglasville,GA,"Douglasville, GA"
10477,Parkway Bank,Lenoir,NC,"Lenoir, NC"
10473,Chipola Community Bank,Marianna,FL,"Marianna, FL"
10475,Heritage Bank of North Florida,Orange Park,FL,"Orange Park, FL"
10474,First Federal Bank,Lexington,KY,"Lexington, KY"
10472,Gold Canyon Bank,Gold Canyon,AZ,"Gold Canyon, AZ"
10471,Frontier Bank,LaGrange,GA,"LaGrange, GA"
10470,Covenant Bank,Chicago,IL,"Chicago, IL"
10469,1st Regents Bank,Andover,MN,"Andover, MN"
10468,Westside Community Bank,University Place,WA,"University Place, WA"
10467,Community Bank of the Ozarks,Sunrise Beach,MO,"Sunrise Beach, MO"
10466,Hometown Community Bank,Braselton,GA,"Braselton, GA"
10464,Citizens First National Bank,Princeton,IL,"Princeton, IL"
10465,Heritage Bank of Florida,Lutz,FL,"Lutz, FL"
10463,NOVA Bank,Berwyn,PA,"Berwyn, PA"
10460,Excel Bank,Sedalia,MO,"Sedalia, MO"
10461,First East Side Savings Bank,Tamarac,FL,"Tamarac, FL"
10462,GulfSouth Private Bank,Destin,FL,"Destin, FL"
10459,First United Bank,Crete,IL,"Crete, IL"
10458,Truman Bank,St. Louis,MO,"St. Louis, MO"
10457,First Commercial Bank,Bloomington,MN,"Bloomington, MN"
10456,Waukegan Savings Bank,Waukegan,IL,"Waukegan, IL"
10455,Jasper Banking Company,Jasper,GA,"Jasper, GA"
10453,Second Federal Savings and Loan Association of Chicago,Chicago,IL,"Chicago, IL"
10452,Heartland Bank,Leawood,KS,"Leawood, KS"
10450,First Cherokee State Bank,Woodstock,GA,"Woodstock, GA"
10451,Georgia Trust Bank,Buford,GA,"Buford, GA"
10454,The Royal Palm Bank of Florida,Naples,FL,"Naples, FL"
10449,Glasgow Savings Bank,Glasgow,MO,"Glasgow, MO"
10448,Montgomery Bank & Trust,Ailey,GA,"Ailey, GA"
10447,The Farmers Bank of Lynchburg,Lynchburg,TN,"Lynchburg, TN"
10446,Security Exchange Bank,Marietta,GA,"Marietta, GA"
10445,Putnam State Bank,Palatka,FL,"Palatka, FL"
10444,Waccamaw Bank,Whiteville,NC,"Whiteville, NC"
10442,Farmers' and Traders' State Bank,Shabbona,IL,"Shabbona, IL"
10441,Carolina Federal Savings Bank,Charleston,SC,"Charleston, SC"
10443,First Capital Bank,Kingfisher,OK,"Kingfisher, OK"
10440,"Alabama Trust Bank, National Association",Sylacauga,AL,"Sylacauga, AL"
10439,"Security Bank, National Association",North Lauderdale,FL,"North Lauderdale, FL"
10437,Palm Desert National Bank,Palm Desert,CA,"Palm Desert, CA"
