Fund,Bank Name ,City ,State ,Location,Latitude,Longitude,CERT,CHCLASS1,CITYST,COST,FAILDATE,ID,NAME,QBFASSET,QBFDEP,RESTYPE,RESTYPE1,SAVR
10538,Almena State Bank,Almena,KS,"Almena, KS",39.892229,-99.707058,15426,NM,"ALMENA, KS",16806.0,10/23/2020,4104,ALMENA STATE BANK,65733,64941,FAILURE,PA,DIF
10537,First City Bank of Florida,Fort Walton Beach,FL,"Fort Walton Beach, FL",30.4057552,-86.618842,16748,NM,"FORT WALTON BEACH, FL",7247.0,10/16/2020,4103,FIRST CITY BANK OF FLORIDA,136566,133936,FAILURE,PA,DIF
10536,The First State Bank,Barboursville,WV,"Barboursville, WV",38.4095298,-82.2945923,14361,NM,"BARBOURSVILLE, WV",45913.0,4/3/2020,4102,THE FIRST STATE BANK,151808,143102,FAILURE,PA,DIF
10535,Ericson State Bank,Ericson,NE,"Ericson, NE",41.7799242,-98.6785815,18265,NM,"ERICSON, NE",25293.0,2/14/2020,4101,ERICSON STATE BANK,100879,95159,FAILURE,PA,DIF
10534,City National Bank of New Jersey,Newark,NJ,"Newark, NJ",40.735657,-74.1723667,21111,N,"NEWARK, NJ",1946.0,11/1/2019,4100,CITY NATIONAL BANK OF NEW JERSEY,120574,111234,FAILURE,PA,DIF
10533,Resolute Bank,Maumee,OH,"Maumee, OH",41.5628294,-83.6538244,58317,SB,"MAUMEE, OH",1571.0,10/25/2019,4099,RESOLUTE BANK,23292,22885,FAILURE,PA,DIF
10532,Louisa Community Bank,Louisa,KY,"Louisa, KY",38.1144867,-82.6030988,58112,NM,"LOUISA, KY",4353.0,10/25/2019,4098,LOUISA COMMUNITY BANK,28163,25174,FAILURE,PA,DIF
10531,The Enloe State Bank,Cooper,TX,"Cooper, TX",33.3721434,-95.6877086,10716,NM,"COOPER, TX",19328.0,5/31/2019,4097,ENLOE STATE BANK,36738,31254,FAILURE,PI,DIF
10530,Washington Federal Bank for Savings,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,30570,SB,"CHICAGO, IL",79928.0,12/15/2017,4096,WASHINGTON FEDERAL BANK FOR SAVINGS,166345,143964,FAILURE,PI,DIF
10529,The Farmers and Merchants State Bank of Argonia,Argonia,KS,"Argonia, KS",37.265854,-97.7656092,17719,NM,"ARGONIA, KS",280.0,10/13/2017,4095,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,33012,27466,FAILURE,PA,DIF
10528,Fayette County Bank,Saint Elmo,IL,"Saint Elmo, IL",39.0272663,-88.8481139,1802,SM,"SAINT ELMO, IL",8088.0,5/26/2017,4094,FAYETTE COUNTY BANK,34370,33972,FAILURE,PA,DIF
10527,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,"Milwaukee, WI",43.0349931,-87.922497,30003,SB,"MILWAUKEE, WI",132603.0,5/5/2017,4093,GUARANTY BANK,1031900,1002026,FAILURE,PA,DIF
10526,First NBC Bank,New Orleans,LA,"New Orleans, LA",29.9759983,-90.0782127,58302,NM,"NEW ORLEANS, LA",786435.0,4/28/2017,4092,FIRST NBC BANK,3325870,3032208,FAILURE,PA,DIF
10525,Proficio Bank,Cottonwood Heights,UT,"Cottonwood Heights, UT",40.613474,-111.8256464,35495,NM,"COTTONWOOD HEIGHTS, UT",9807.0,3/3/2017,4091,PROFICIO BANK,68208,65042,FAILURE,PA,DIF
10524,Seaway Bank and Trust Company,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,19328,NM,"CHICAGO, IL",44050.0,1/27/2017,4090,SEAWAY BANK AND TRUST COMPANY,297809,256505,FAILURE,PA,DIF
10523,Harvest Community Bank,Pennsville,NJ,"Pennsville, NJ",39.6502715,-75.50833325636759,34951,NM,"PENNSVILLE, NJ",22158.0,1/13/2017,4089,HARVEST COMMUNITY BANK,124223,122177,FAILURE,PA,DIF
10522,Allied Bank,Mulberry,AR,"Mulberry, AR",35.5006417,-94.0515919,91,SM,"MULBERRY, AR",6213.0,9/23/2016,4088,ALLIED BANK,66336,64713,FAILURE,PA,DIF
10521,The Woodbury Banking Company,Woodbury,GA,"Woodbury, GA",32.9837394,-84.5827031,11297,NM,"WOODBURY, GA",3290.0,8/19/2016,4087,THE WOODBURY BANKING COMPANY,21426,21122,FAILURE,PA,DIF
10520,First CornerStone Bank,King of Prussia,PA,"King of Prussia, PA",40.09476245,-75.3851333563417,35312,NM,"KING OF PRUSSIA, PA",10825.0,5/6/2016,4086,FIRST CORNERSTONE BANK,103307,101040,FAILURE,PA,DIF
10519,Trust Company Bank,Memphis,TN,"Memphis, TN",35.1460249,-90.0517638,9956,NM,"MEMPHIS, TN",10372.0,4/29/2016,4085,TRUST COMPANY BANK,18998,20148,FAILURE,PA,DIF
10518,North Milwaukee State Bank,Milwaukee,WI,"Milwaukee, WI",43.0349931,-87.922497,20364,NM,"MILWAUKEE, WI",11773.0,3/11/2016,4084,NORTH MILWAUKEE STATE BANK,67115,61493,FAILURE,PA,DIF
