fund,receivership,faildate,total_assets,total_liabilities,administrative_liabilities,fdic_subrogated_deposit_claim,uninsured_deposit_claims,other_claimant_liabilities,unproven_claims,net_worth_deficit
10030,1ST CENTENNIAL BANK,1/23/2009,4268.0,142039.0,11.0,140397.0,63.0,1568.0,0.0,-137771.0
10200,ADVANTA BANK CORP,3/19/2010,5736.0,534002.0,12.0,527286.0,629.0,6075.0,0.0,-528266.0
10538,ALMENA STATE BANK,10/23/2020,2816.0,19146.0,4.0,18804.0,0.0,338.0,0.0,-16330.0
10018,ALPHA BANK & TRUST,10/24/2008,0.0,212129.0,0.0,211264.0,272.0,593.0,0.0,-212129.0
10218,"AMCORE BANK, NA",4/23/2010,13857.0,91655.0,5305.0,28364.0,0.0,57986.0,0.0,-77798.0
10057,AMERICA WEST BANK,5/1/2009,997.0,116483.0,0.0,115386.0,0.0,1097.0,0.0,-115486.0
10053,AMERICAN SOUTHERN BANK,4/24/2009,2436.0,35573.0,0.0,35341.0,0.0,232.0,0.0,-33137.0
10155,AMTRUST BANK,12/4/2009,14017.0,1741286.0,5308.0,1710251.0,0.0,25727.0,0.0,-1727269.0
10199,APPALACHIAN COMMUNITY BANK,3/19/2010,2546.0,463377.0,1.0,459036.0,0.0,4340.0,0.0,-460831.0
10369,ATLANTIC BANK & TRUST,6/3/2011,1010.0,32296.0,0.0,32263.0,0.0,33.0,0.0,-31286.0
10380,BANK OF CHOICE,7/22/2011,1085.0,137627.0,1.0,136766.0,0.0,860.0,0.0,-136542.0
10029,BANK OF CLARK COUNTY,1/16/2009,2501.0,164103.0,70.0,153157.0,10097.0,779.0,0.0,-161602.0
10064,BANK OF LINCOLNWOOD,6/5/2009,2988.0,74562.0,0.0,74049.0,0.0,513.0,0.0,-71574.0
10396,BANK OF THE COMMONWEALTH,9/23/2011,5118.0,245759.0,8.0,244078.0,0.0,1673.0,0.0,-240641.0
10434,BANK OF THE EASTERN SHORE,4/27/2012,3281.0,61321.0,1.0,61281.0,6.0,33.0,0.0,-58040.0
10387,BANK OF WHITMAN,8/5/2011,4364.0,106419.0,2.0,105533.0,0.0,884.0,0.0,-102055.0
10478,BANKS OF WISCONSIN,5/31/2013,3034.0,25991.0,0.0,25685.0,0.0,306.0,0.0,-22957.0
10171,BARNES BANKING COMPANY,1/15/2010,6079.0,115367.0,81.0,113450.0,257.0,1579.0,0.0,-109288.0
10134,CALIFORNIA NATIONAL BANK,10/30/2009,10070.0,220917.0,5311.0,195180.0,0.0,20426.0,0.0,-210847.0
10441,CAROLINA FEDERAL SAVINGS BANK,6/8/2012,1009.0,18747.0,0.0,18688.0,0.0,59.0,0.0,-17738.0
10193,CENTENNIAL BANK,3/5/2010,1186.0,72623.0,3.0,71828.0,209.0,583.0,0.0,-71437.0
10343,CHARTER OAK BANK,2/18/2011,1060.0,21157.0,0.0,21144.0,0.0,13.0,0.0,-20097.0
10058,CITIZENS COMMUNITY BANK,5/1/2009,3137.0,22903.0,0.0,21462.0,0.0,1441.0,0.0,-19766.0
10063,CITIZENS NATIONAL BANK,5/22/2009,6922.0,38792.0,-3.0,38060.0,0.0,735.0,0.0,-31870.0
10162,CITIZENS STATE BANK,12/18/2009,3400.0,72794.0,7.0,71940.0,22.0,825.0,0.0,-69394.0
10534,CITY NATIONAL BANK NEW JERSEY,11/1/2019,4373.0,17035.0,71.0,5184.0,0.0,11780.0,0.0,-12662.0
10103,COLONIAL BANK,8/14/2009,52437.0,2819515.0,24404.0,2441969.0,0.0,353142.0,0.0,-2767078.0
10180,COMMUNITY BANK & TRUST,1/29/2010,3746.0,483341.0,0.0,481088.0,0.0,2253.0,0.0,-479595.0
10101,COMMUNITY BANK OF ARIZONA,8/14/2009,1085.0,28267.0,0.0,27898.0,0.0,369.0,0.0,-27182.0
10100,COMMUNITY BANK OF NEVADA,8/14/2009,2025.0,568790.0,193.0,559874.0,1895.0,6578.0,250.0,-566765.0
10412,COMMUNITY BANK OF ROCKMART,11/10/2011,1188.0,21617.0,0.0,21531.0,0.0,86.0,0.0,-20429.0
10068,COMMUNITY BANK OF WEST GEORGIA,6/26/2009,4166.0,76596.0,0.0,76081.0,2.0,513.0,0.0,-72430.0
10486,COMMUNITY SOUTH BANK,8/23/2013,1127.0,132253.0,6.0,130913.0,0.0,1334.0,0.0,-131126.0
10117,CORUS BANK NA,9/11/2009,12288.0,36697.0,5339.0,672.0,0.0,30686.0,0.0,-24409.0
10402,COUNTRY BANK,10/14/2011,5002.0,74778.0,0.0,74484.0,0.0,294.0,0.0,-69776.0
10265,CRESCENT BANK AND TRUST CO.,7/23/2010,1091.0,306870.0,1.0,304923.0,0.0,1946.0,0.0,-305779.0
10205,DESERT HILLS BANK,3/26/2010,1078.0,111669.0,0.0,109979.0,0.0,1690.0,0.0,-110591.0
10513,DORAL BANK,2/27/2015,24407.0,753650.0,168.0,714178.0,0.0,39304.0,0.0,-729243.0
10104,DWELLING HOUSE SAVINGS & LOAN,8/14/2009,1055.0,9527.0,0.0,9415.0,0.0,112.0,0.0,-8472.0
10317,EARTHSTAR BANK,12/10/2010,5945.0,29075.0,0.0,28649.0,0.0,426.0,0.0,-23130.0
10329,ENTERPRISE BANKING CO.,1/21/2011,1047.0,44771.0,0.0,44626.0,1.0,144.0,0.0,-43724.0
10535,ERICSON STATE BANK,2/14/2020,2471.0,26244.0,12.0,26140.0,0.0,92.0,0.0,-23773.0
10306,"FIRST ARIZONA SAVINGS, FSB",10/22/2010,2463.0,29759.0,41.0,29256.0,51.0,411.0,0.0,-27296.0
10054,FIRST BANK OF BEVERLY HILLS,4/24/2009,1037.0,11368.0,10.0,9586.0,11.0,1761.0,0.0,-10331.0
10055,"FIRST BANK OF IDAHO, FSB",4/24/2009,4160.0,114058.0,0.0,113575.0,0.0,483.0,0.0,-109898.0
10315,FIRST BANKING CENTER,11/19/2010,5454.0,93768.0,0.0,92148.0,0.0,1620.0,0.0,-88314.0
10374,FIRST CHICAGO BANK & TRUST,7/8/2011,1600.0,195986.0,0.0,194606.0,0.0,1380.0,0.0,-194386.0
10333,FIRST COMMUNITY BANK,1/28/2011,1998.0,239489.0,0.0,232802.0,0.0,6687.0,0.0,-237491.0
10366,FIRST GEORGIA BANKING CO.,5/20/2011,3308.0,138095.0,3.0,138065.0,0.0,27.0,0.0,-134787.0
10025,FIRST GEORGIA COMMUNITY BANK,12/5/2008,2197.0,89993.0,0.0,88595.0,0.0,1398.0,0.0,-87796.0
10251,FIRST NATIONAL BANK,6/25/2010,1152.0,80353.0,49.0,79349.0,0.0,955.0,0.0,-79201.0
10488,FIRST NATIONAL BANK,9/13/2013,1156.0,623950.0,41.0,617366.0,0.0,6543.0,0.0,-622794.0
10008,FIRST NATIONAL BANK OF NEVADA,7/25/2008,7200.0,732196.0,26.0,717921.0,0.0,14249.0,0.0,-724996.0
10526,FIRST NBC BANK,4/28/2017,28673.0,824006.0,1339.0,812004.0,0.0,10663.0,0.0,-795333.0
10036,FIRSTBANK FINANCIAL SERVICES,2/6/2009,1296.0,153215.0,0.0,152663.0,0.0,552.0,0.0,-151919.0
10047,FIRSTCITY BANK,3/20/2009,3065.0,138965.0,0.0,138411.0,1.0,553.0,0.0,-135900.0
10334,FIRSTIER BANK,1/28/2011,6071.0,241320.0,10.0,240028.0,6.0,1205.0,71.0,-235249.0
10433,FORT LEE FEDERAL SAVINGS BANK,4/20/2012,2219.0,14380.0,0.0,14202.0,0.0,178.0,0.0,-12161.0
10021,"FRANKLIN BANK, SSB",11/7/2008,25680.0,663848.0,1.0,640828.0,0.0,23019.0,0.0,-638168.0
10019,FREEDOM BANK,10/31/2008,2324.0,116479.0,-4.0,115818.0,0.0,665.0,0.0,-114155.0
10428,GLOBAL COMMERCE BANK,3/2/2012,1081.0,41663.0,0.0,41411.0,0.0,252.0,0.0,-40582.0
10105,GUARANTY BANK,8/21/2009,99832.0,5677.0,5677.0,0.0,0.0,0.0,0.0,94155.0
10462,GULFSOUTH PRIVATE BANK,10/19/2012,1233.0,41806.0,0.0,41645.0,0.0,161.0,0.0,-40573.0
10027,HAVEN TRUST BANK,12/12/2008,2329.0,249946.0,0.0,249021.0,0.0,925.0,0.0,-247617.0
10465,HERITAGE BANK OF FLORIDA,11/2/2012,1107.0,75282.0,0.0,74982.0,0.0,300.0,0.0,-74175.0
10427,HOME SAVINGS OF AMERICA,2/24/2012,1536.0,48923.0,77.0,44530.0,125.0,4165.0,26.0,-47387.0
10257,IDEAL FEDERAL SAVINGS BANK,7/9/2010,1804.0,5828.0,0.0,5418.0,396.0,14.0,0.0,-4024.0
10161,IMPERIAL CAPITAL BANK,12/18/2009,14079.0,297814.0,5302.0,284260.0,0.0,8252.0,0.0,-283735.0
10166,INDEPENDENT BANKERS' BANK,12/18/2009,1907.0,6.0,6.0,0.0,0.0,0.0,0.0,1901.0
10007,INDYMAC FEDERAL BANK FSB,7/11/2008,99444.0,12221996.0,5370.0,12097654.0,94350.0,24554.0,68.0,-12122552.0
10384,"INTEGRA BANK, NA",7/29/2011,8443.0,97118.0,5308.0,37459.0,0.0,54351.0,0.0,-88675.0
10095,INTEGRITY BANK,7/31/2009,1068.0,37815.0,0.0,37603.0,0.0,212.0,0.0,-36747.0
