bank_name,city,state,cert,acquiring_institution,closing_date,fund,total_assets,total_liabilities,net_worth_deficit
1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",5-Feb-10,10183,,,
1st Centennial Bank,Redlands,CA,33025,First California Bank,23-Jan-09,10030,,,
1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,6-Jun-13,10482,25680.0,663848.0,-638168.0
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,7-May-10,10232,,,
1st Regents Bank,Andover,MN,57157,First Minnesota Bank,18-Jan-13,10469,1068.0,37815.0,-36747.0
"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,9-May-08,10005,,,
Access Bank,Champlin,MN,16476,PrinsBank,7-May-10,10233,,,
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,19-Mar-10,10200,,,
Affinity Bank,Ventura,CA,27197,Pacific Western Bank,28-Aug-09,10110,,,
"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,18-May-12,10440,2104.0,203274.0,-201170.0
All American Bank,Des Plaines,IL,57759,International Bank of Chicago,28-Oct-11,10409,1009.0,191552.0,-190543.0
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,19-Nov-10,10314,,,
Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,25-Apr-14,10497,1037.0,11368.0,-10331.0
Alliance Bank,Culver City,CA,23124,California Bank & Trust,6-Feb-09,10035,,,
Allied Bank,Mulberry,AR,91,Today's Bank,23-Sep-16,10522,10070.0,220917.0,-210847.0
Almena State Bank,Almena,KS,15426,Equity Bank,23-Oct-20,10538,2816.0,19146.0,-16330.0
Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.",24-Oct-08,10018,,,
AmTrade International Bank,Atlanta,GA,33784,No Acquirer,30-Sep-02,4657,,,
AmTrust Bank,Cleveland,OH,29776,New York Community Bank,4-Dec-09,10155,,,
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,23-Apr-10,10218,,,
Ameribank,Northfork,WV,6782,"The Citizens Savings Bank ********** Pioneer Community Bank, Inc.",19-Sep-08,10014,,,
America West Bank,Layton,UT,35461,Cache Valley Bank,1-May-09,10057,,,
American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",20-Jan-12,10417,2518.0,236446.0,-233928.0
American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,29-Jan-10,10178,,,
American National Bank,Parma,OH,18806,The National Bank and Trust Company,19-Mar-10,10201,,,
American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,24-Apr-09,10053,,,
American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,17-Apr-09,10052,,,
American Trust Bank,Roswell,GA,57432,Renasant Bank,4-Feb-11,10336,,,
American United Bank,Lawrenceville,GA,57794,Ameris Bank,23-Oct-09,10127,,,
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",16-Apr-10,10210,,,
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,19-Mar-10,10199,,,
"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,17-Dec-10,10319,,,
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,4-Jun-10,10246,,,
Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",3-Jun-11,10369,,,
Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association",20-May-11,10365,,,
AztecAmerica Bank,Berwyn,IL,57866,Republic Bank of Chicago,16-May-14,10498,2463.0,29759.0,-27296.0
BC National Banks,Butler,MO,17792,Community First Bank,30-Apr-10,10225,,,
Badger State Bank,Cassville,WI,13272,Royal Bank,11-Feb-11,10339,,,
"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,30-Oct-09,10136,,,
Bank of Alamo,Alamo,TN,9961,No Acquirer,8-Nov-02,4658,,,
Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.",22-Jul-11,10380,,,
Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,16-Jan-09,10029,,,
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,17-Sep-10,10287,,,
Bank of Elmwood,Racine,WI,18321,Tri City National Bank,23-Oct-09,10132,,,
Bank of Ephraim,Ephraim,UT,1249,Far West Bank,25-Jun-04,4665,,,
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,28-May-10,10241,,,
Bank of Florida - Southwest,Naples,FL,35106,EverBank,28-May-10,10242,,,
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,28-May-10,10243,,,
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,19-Mar-10,10202,,,
Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,13-Oct-00,4645,,,
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,5-Mar-10,10191,,,
Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,30-Oct-13,10490,1152.0,80353.0,-79201.0
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",22-Jan-10,10174,,,
Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,5-Jun-09,10064,,,
Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,5-Aug-11,10386,,,
Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,18-Jan-02,4651,,,
Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,9-Aug-13,10485,3065.0,138965.0,-135900.0
Bank of Whitman,Colfax,WA,22528,Columbia State Bank,5-Aug-11,10387,,,
Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,10-Jul-09,10080,,,
Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,23-Sep-11,10396,,,
Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,27-Apr-12,10434,2634.0,152293.0,-149659.0
BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.",27-Jan-12,10420,3041.0,339815.0,-336774.0
BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.",17-Jul-09,10081,,,
"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,29-Jul-11,10383,,,
"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,21-May-09,10061,,,
Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB",31-May-13,10478,2324.0,116479.0,-114155.0
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,15-Jan-10,10171,,,
Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,15-Apr-11,10353,,,
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",9-Jul-10,10255,,,
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,30-Jul-10,10271,,,
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,9-Apr-10,10209,,,
Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",4-Dec-09,10154,,,
"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,14-Oct-11,10401,,,
Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),28-Aug-09,10109,,,
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,17-Sep-10,10288,,,
Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,11-Sep-09,10118,,,
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",23-Apr-10,10219,,,
Butler Bank,Lowell,MA,26619,People's United Bank,16-Apr-10,10211,,,
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",20-Aug-10,10278,,,
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,30-Apr-10,10226,,,
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,30-Oct-09,10134,,,
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,11-Feb-11,10340,,,
Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,10-Apr-09,10049,,,
CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,21-Aug-09,10106,,,
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,13-Feb-15,10512,1085.0,28267.0,-27182.0
Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,8-Jun-12,10441,14438.0,1011344.0,-996906.0
Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,26-Feb-10,10188,,,
Centennial Bank,Ogden,UT,34430,No Acquirer,5-Mar-10,10193,,,
Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,14-May-13,10479,1081.0,41663.0,-40582.0
Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,24-Feb-12,10426,1179.0,67549.0,-66370.0
Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",20-Jan-12,10418,12510.0,744639.0,-732129.0
Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,18-Nov-11,10413,2169.0,221073.0,-218904.0
"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,13-Nov-09,10148,,,
Century Security Bank,Duluth,GA,58104,Bank of Upson,19-Mar-10,10198,,,
Champion Bank,Creve Coeur,MO,58362,BankLiberty,30-Apr-10,10227,,,
Charter Bank,Santa Fe,NM,32498,Charter Bank,22-Jan-10,10175,,,
Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",10-Feb-12,10424,3165.0,367042.0,-363877.0
Charter Oak Bank,Napa,CA,57855,Bank of Marin,18-Feb-11,10343,,,
