Fund,Bank Name ,City ,State ,Location,Latitude,Longitude
10540,Signature Bank,New York,NY,"New York, NY",40.7127281,-74.0060152
10539,Silicon Valley Bank,Santa Clara,CA,"Santa Clara, CA",37.2333253,-121.6846349
10538,Almena State Bank,Almena,KS,"Almena, KS",39.892229,-99.707058
10537,First City Bank of Florida,Fort Walton Beach,FL,"Fort Walton Beach, FL",30.4057552,-86.618842
10536,The First State Bank,Barboursville,WV,"Barboursville, WV",38.4095298,-82.2945923
10535,Ericson State Bank,Ericson,NE,"Ericson, NE",41.7799242,-98.6785815
10534,City National Bank of New Jersey,Newark,NJ,"Newark, NJ",40.735657,-74.1723667
10533,Resolute Bank,Maumee,OH,"Maumee, OH",41.5628294,-83.6538244
10532,Louisa Community Bank,Louisa,KY,"Louisa, KY",38.1144867,-82.6030988
10531,The Enloe State Bank,Cooper,TX,"Cooper, TX",33.3721434,-95.6877086
10530,Washington Federal Bank for Savings,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10529,The Farmers and Merchants State Bank of Argonia,Argonia,KS,"Argonia, KS",37.265854,-97.7656092
10528,Fayette County Bank,Saint Elmo,IL,"Saint Elmo, IL",39.0272663,-88.8481139
10527,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,"Milwaukee, WI",43.0349931,-87.922497
10526,First NBC Bank,New Orleans,LA,"New Orleans, LA",29.9759983,-90.0782127
10525,Proficio Bank,Cottonwood Heights,UT,"Cottonwood Heights, UT",40.613474,-111.8256464
10524,Seaway Bank and Trust Company,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10523,Harvest Community Bank,Pennsville,NJ,"Pennsville, NJ",39.6502715,-75.50833325636759
10522,Allied Bank,Mulberry,AR,"Mulberry, AR",35.5006417,-94.0515919
10521,The Woodbury Banking Company,Woodbury,GA,"Woodbury, GA",32.9837394,-84.5827031
10520,First CornerStone Bank,King of Prussia,PA,"King of Prussia, PA",40.09476245,-75.3851333563417
10519,Trust Company Bank,Memphis,TN,"Memphis, TN",35.1460249,-90.0517638
10518,North Milwaukee State Bank,Milwaukee,WI,"Milwaukee, WI",43.0349931,-87.922497
10517,Hometown National Bank,Longview,WA,"Longview, WA",46.1377048,-122.934462
10516,The Bank of Georgia,Peachtree City,GA,"Peachtree City, GA",33.3967829,-84.5957629
10515,Premier Bank,Denver,CO,"Denver, CO",39.7392364,-104.984862
10514,Edgebrook Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10513,Doral Bank,San Juan,PR,"San Juan, PR",18.465299,-66.116666
10512,Capitol City Bank & Trust Company,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644
10511,Highland Community Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10510,First National Bank of Crestview,Crestview,FL,"Crestview, FL",30.7621326,-86.5705084
10509,Northern Star Bank,Mankato,MN,"Mankato, MN",44.1634663,-93.9993505
10508,"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,"Palm Desert, CA",33.7288179,-116.382571
10507,The National Republic Bank of Chicago,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10506,NBRS Financial,Rising Sun,MD,"Rising Sun, MD",39.6980597,-76.0628964
10505,"GreenChoice Bank, fsb",Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10504,Eastside Commercial Bank,Conyers,GA,"Conyers, GA",33.6676103,-84.0176904
10503,The Freedom State Bank,Freedom,OK,"Freedom, OK",36.7692966,-99.1133631
10501,Valley Bank,Fort Lauderdale,FL,"Fort Lauderdale, FL",26.1223084,-80.1433786
10502,Valley Bank,Moline,IL,"Moline, IL",41.5058344,-90.5136642
