year,month,total_assets,count,month_year
2000,1,105044.0,1.0,2000-01
2000,2,0.0,0.0,2000-02
2000,3,31479.0,1.0,2000-03
2000,4,0.0,0.0,2000-04
2000,5,0.0,0.0,2000-05
2000,6,7923.0,1.0,2000-06
2000,7,25942.0,1.0,2000-07
2000,8,0.0,0.0,2000-08
2000,9,85485.0,1.0,2000-09
2000,10,63890.0,1.0,2000-10
2000,11,0.0,0.0,2000-11
2000,12,90397.0,1.0,2000-12
2001,1,0.0,0.0,2001-01
2001,2,17438.0,1.0,2001-02
2001,3,0.0,0.0,2001-03
2001,4,0.0,0.0,2001-04
2001,5,9075.0,1.0,2001-05
2001,6,0.0,0.0,2001-06
2001,7,1765455.0,1.0,2001-07
2001,8,0.0,0.0,2001-08
2001,9,29792.0,1.0,2001-09
2001,10,0.0,0.0,2001-10
2001,11,0.0,0.0,2001-11
2001,12,0.0,0.0,2001-12
2002,1,1420260.0,2.0,2002-01
2002,2,772447.0,2.0,2002-02
2002,3,58298.0,2.0,2002-03
2002,4,0.0,0.0,2002-04
2002,5,0.0,0.0,2002-05
2002,6,435800.0,2.0,2002-06
2002,7,0.0,0.0,2002-07
2002,8,0.0,0.0,2002-08
2002,9,92144.0,1.0,2002-09
2002,10,0.0,0.0,2002-10
2002,11,58454.0,1.0,2002-11
2002,12,35317.0,1.0,2002-12
2003,1,0.0,0.0,2003-01
2003,2,904294.0,1.0,2003-02
2003,3,0.0,0.0,2003-03
2003,4,0.0,0.0,2003-04
2003,5,34536.0,1.0,2003-05
2003,6,0.0,0.0,2003-06
2003,7,0.0,0.0,2003-07
2003,8,0.0,0.0,2003-08
2003,9,0.0,0.0,2003-09
2003,10,0.0,0.0,2003-10
2003,11,8487.0,1.0,2003-11
2003,12,0.0,0.0,2003-12
2004,1,0.0,0.0,2004-01
2004,2,13408.0,1.0,2004-02
2004,3,99917.0,2.0,2004-03
2004,4,0.0,0.0,2004-04
2004,5,0.0,0.0,2004-05
2004,6,56774.0,1.0,2004-06
