fund,bank_name,city,state,location,latitude,longitude,faildate,qbfasset
10538,Almena State Bank,Almena,KS,"Almena, KS",39.892229,-99.707058,10/23/2020,65733
10537,First City Bank of Florida,Fort Walton Beach,FL,"Fort Walton Beach, FL",30.4057552,-86.618842,10/16/2020,136566
10536,The First State Bank,Barboursville,WV,"Barboursville, WV",38.4095298,-82.2945923,4/3/2020,151808
10535,Ericson State Bank,Ericson,NE,"Ericson, NE",41.7799242,-98.6785815,2/14/2020,100879
10534,City National Bank of New Jersey,Newark,NJ,"Newark, NJ",40.735657,-74.1723667,11/1/2019,120574
10533,Resolute Bank,Maumee,OH,"Maumee, OH",41.5628294,-83.6538244,10/25/2019,23292
10532,Louisa Community Bank,Louisa,KY,"Louisa, KY",38.1144867,-82.6030988,10/25/2019,28163
10531,The Enloe State Bank,Cooper,TX,"Cooper, TX",33.3721434,-95.6877086,5/31/2019,36738
10530,Washington Federal Bank for Savings,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,12/15/2017,166345
10529,The Farmers and Merchants State Bank of Argonia,Argonia,KS,"Argonia, KS",37.265854,-97.7656092,10/13/2017,33012
10528,Fayette County Bank,Saint Elmo,IL,"Saint Elmo, IL",39.0272663,-88.8481139,5/26/2017,34370
10527,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,"Milwaukee, WI",43.0349931,-87.922497,5/5/2017,1031900
10526,First NBC Bank,New Orleans,LA,"New Orleans, LA",29.9759983,-90.0782127,4/28/2017,3325870
10525,Proficio Bank,Cottonwood Heights,UT,"Cottonwood Heights, UT",40.613474,-111.8256464,3/3/2017,68208
10524,Seaway Bank and Trust Company,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,1/27/2017,297809
10523,Harvest Community Bank,Pennsville,NJ,"Pennsville, NJ",39.6502715,-75.50833325636759,1/13/2017,124223
10522,Allied Bank,Mulberry,AR,"Mulberry, AR",35.5006417,-94.0515919,9/23/2016,66336
10521,The Woodbury Banking Company,Woodbury,GA,"Woodbury, GA",32.9837394,-84.5827031,8/19/2016,21426
10520,First CornerStone Bank,King of Prussia,PA,"King of Prussia, PA",40.09476245,-75.3851333563417,5/6/2016,103307
10519,Trust Company Bank,Memphis,TN,"Memphis, TN",35.1460249,-90.0517638,4/29/2016,18998
10518,North Milwaukee State Bank,Milwaukee,WI,"Milwaukee, WI",43.0349931,-87.922497,3/11/2016,67115
10517,Hometown National Bank,Longview,WA,"Longview, WA",46.1377048,-122.934462,10/2/2015,3785
10516,The Bank of Georgia,Peachtree City,GA,"Peachtree City, GA",33.3967829,-84.5957629,10/2/2015,286102
10515,Premier Bank,Denver,CO,"Denver, CO",39.7392364,-104.984862,7/10/2015,26760
10514,Edgebrook Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,5/8/2015,90034
10513,Doral Bank,San Juan,PR,"San Juan, PR",18.465299,-66.116666,2/27/2015,5898515
10512,Capitol City Bank & Trust Company,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644,2/13/2015,272311
10511,Highland Community Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,1/23/2015,54727
10510,First National Bank of Crestview,Crestview,FL,"Crestview, FL",30.7621326,-86.5705084,1/16/2015,73804
10509,Northern Star Bank,Mankato,MN,"Mankato, MN",44.1634663,-93.9993505,12/19/2014,18794
